Nama,Tipe Traveler,Tanggal,Skor,Review
BF,,3 Sep 2024,"5,0","Pemandangan yang indah karena lokasinya yang strategis, pelayanan yang ramah dan cepat, sangat bagus sekali."
KA,,15 May 2024,"5,0","Makanannya sangat enak, pemandangannya terbaik di sini. Sangat tenang dan nyaman. Saya pasti akan kembali ke sini nanti. Destinasi wajib dari Gilimanuk ke Denpasar."
QN,,16 Nov 2024,"4,8","Saya berkunjung ke Pondok Pitaya bersama teman-teman saya dan sangat puas dengan pemandangan tamannya yang indah. Selain itu, makanannya juga sangat enak. Stafnya ramah dan profesional. Saya ingin kem..."
IS,,8 Nov 2024,"4,8",Hotel yang memberikan suasana yang nyaman. Terima kasih Pondok Pitaya.
ZR,,25 Sep 2024,"4,8",Penginapan terbaik dengan nuansa alam yang bagus dan nyaman. Sangat keren. Terima kasih Pondok Pitaya.
CN,,7 Aug 2024,"4,8",Tempat yang bagus dan indah untuk menginap. Pelayanannya juga ramah dan bersahabat.
CA,,12 Mar 2024,"4,8","Tempat yang nyaman untuk berlibur dengan lokasi yang dekat dengan pantai. Pelayanannya luar biasa, terima kasih Pondok Pitaya."
YB,,25 Feb 2024,"4,8","I recently spent a month at pondok pitaya and used the discounted rate. It met all my expectations. A prime location. The cuisine was delicious, and the atmosphere was lively. The staff went above and..."
UC,,11 Oct 2023,"4,8","Saya mengunjungi Pondok Pitaya bersama teman-teman saya dan sangat puas dengan pemandangan tamannya yang indah. Selain itu, makanannya juga sangat enak. Stafnya ramah dan profesional. Saya ingin kemba..."
UE,,6 Sep 2023,"4,8","Hotel ini sangat bagus dan nyaman, terletak di tepi pantai, pemandangannya juga sangat indah, saya tidak menyesal menginap di sini dan ingin kembali jika saya kembali ke Bali."
DJ,,20 Jul 2023,"4,8","I had a wonderful stay at pondak pitaya at the beginning of October. What a vibe! The river suite rooms were amazing, with excellent service, comfortable beds, and cleanliness. The grounds were meticu..."
SH,,1 May 2023,"4,8","Tempat yang sangat nyaman untuk liburan keluarga, dengan nuansa Bali yang sangat kental dan tempat yang paling cocok jika berlibur ke Bali dengan pemandangan langsung ke pantai."
EC,,19 Feb 2023,"4,8","Hotel yang bagus dan nyaman di tepi pantai, pemandangannya juga sangat indah, saya tidak menyesal menginap di sini dan ingin kembali jika saya kembali ke Bali."
RZ,,19 Jan 2023,"4,8",The pondok pitaya was exactly what we needed. Excellent location with stunning views and sunsets on a perfect surf break with lovely daily yoga classes. Simple accommodation with everything you need. ...
NP,,5 Jan 2023,"4,8","This Condo Pity has the best location in Bali, right on the water edge. Large lawns and yoga shales are ideal for groups. We recently celebrated a birthday there and the staff couldn't have been more ..."
KO,,27 Sep 2024,"4,6","Tempat yang nyaman untuk liburan, sangat direkomendasikan untuk recharge. Pelayanan yang ramah dan menyenangkan dari petugas hotel. Nasi goreng andalan yang enak untuk sarapan. Selangkah dari pantai u..."
CR,,9 Sep 2024,"4,6",Penginapan ini terletak persis di tepi pantai BALIAN.
PV,,31 Jul 2024,"4,6",Pitaya hotel adalah tempat saya mencari nafkah.
KL,,27 Jul 2024,"4,6","Pemandangan yang sangat bagus, suasana yang sangat nyaman dan tenang."
EG,,13 Jul 2024,"4,6","Pemandangannya indah banget karena lokasinya strategis, pelayanannya ramah dan cepat. Pokoknya juara deh."
XR,,20 Jun 2024,"4,6",Tempatnya sangat nyaman dan sangat asri. Cocok untuk yang ingin healing. Terima kasih banyak Pondok Pitaya.
TB,,3 Jun 2024,"4,6",Tempatnya sangat nyaman dengan fasilitas yang memadai. Cocok untuk pasangan yang baru menikah untuk bulan madu.
XY,,31 May 2024,"4,6",Pondok Pitaya memberikan pengalaman menginap yang berkesan. Suasananya nyaman dan pelayanannya sangat memuaskan. Terima kasih.
QN,,3 Jan 2024,"4,6",Hotel yang sangat bagus. Pelayanan yang baik dan pemandangan yang sangat bagus.
RL,,16 Nov 2023,"4,6",I am eager to go back. The personnel were incredibly kind and welcoming. The cuisine was delectable and diverse. My room was cozy and immaculate. The sunsets will leave you in awe.
HC,,4 Oct 2023,"4,6","Akomodasi pariwisata ini terletak di depan Pantai Balian yang sangat terkenal di kalangan turis, terutama wisatawan mancanegara. Kamarnya elegan, kolam renang, restoran, bar tersedia di sini. Cocok un..."
MS,,29 Jul 2023,"4,6",Suasana hotel yang nyaman dan pelayanan yang sangat ramah.
RG,,1 Jun 2023,"4,6","Pemandangan pantai dengan matahari terbenamnya yang indah sangat cocok untuk liburan keluarga. Kolam renangnya cukup besar dan terdapat area bermain untuk anak-anak. Restoran, spa, dan yoga shalanya j..."
AI,,30 Apr 2023,"4,6","Hotel yang bagus dan indah untuk menginap, pelayanannya juga ramah dan bersahabat."
NW,,27 Feb 2023,"4,6",The food is delicious and fresh and the service is friendly. The views are also very nice. Not the best pina colada I've ever had but the Indonesian curry is worth it.
LV,,2 Feb 2023,"4,6","This is a stunning place to stay while attending retreat yourself nz. Everything was at our fingertips, including amazing massages, scooter rentals, delicious food, and conversations with the wonderfu..."
YC,,23 Sep 2024,"4,4","Kami hanya makan di restoran, jadi saya tidak bisa menilai hotelnya. Restorannya bagus, memiliki wifi dan pemandangan laut yang indah. Makanannya sangat enak, tapi porsinya terlalu besar."
QD,,3 Sep 2024,"4,4","Hotel yang memberikan kamar yang nyaman, pelayanan yang baik, dan lokasi yang strategis. Saya sangat suka sekali dengan hotel ini."
ED,,26 Aug 2024,"4,4","My second visit to this wonderful, lovely location with a wonderful staff. I stayed on a yoga retreat for a week. Excellent amenities a lovely yoga shala, spotless, cool rooms, gorgeous grounds, and d..."
CW,,6 Aug 2024,"4,4",Pemandangan hotel yang menghadap langsung ke pantai sangat bagus. Saya sangat suka dengan hotel ini.
IJ,,11 Jun 2024,"4,4","Hotelnya bagus banget, suasananya enak banget karena berada di pinggir pantai."
AK,,6 Jun 2024,"4,4",Hotel yang memberikan pelayanan yang sangat ramah dan kualitas kamar yang sangat bagus dengan petugas hotel yang ramah. Ramah.
LQ,,13 May 2024,"4,4","hotel dengan kamar yang nyaman, pelayanan yang baik dan lokasi yang strategis. Saya sangat suka sekali dengan hotel ini."
ZD,,6 May 2024,"4,4","We had the best retreat experience here, we hosted a 100person group. The staff was always friendly and always available, they were always ready to help. We never missed anything, and even before we a..."
CP,,9 Apr 2024,"4,4","Lokasi hotel mudah dijangkau, banyak tempat wisata yang bagus (di pinggir pantai), fasilitas yang disediakan juga lengkap, interior kamar sangat memuaskan, dan pelayanan yang diberikan sangat baik."
UY,,7 Apr 2024,"4,4",Penginapan terbaik dengan suasana alam yang indah dan nyaman. Sangat keren. Terima kasih Pondok Pitaya.
PM,,6 Mar 2024,"4,4",Hotelnya keren-keren dengan pemandangan langsung ke laut dan banyak turis asing yang berselancar.
DE,,16 Feb 2024,"4,4","Hotel yang recommended sekali, pelayanannya sangat prima, kamarnya luas, fasilitasnya lengkap, staffnya ramah. Ramah melayani tamu dengan baik."
MH,,22 Jan 2024,"4,4","Tempat yang nyaman dengan nuansa alam yang indah, pelayanan yang memuaskan, terima kasih Pondok Pitaya."
IU,,4 Jan 2024,"4,4","Akomodasi wisata ini terletak di depan Pantai Balian, yang sangat terkenal di kalangan wisatawan, terutama wisatawan mancanegara. Kamarnya elegan, kolam renang, restoran, bar tersedia di sini. Cocok u..."
PY,,21 Dec 2023,"4,4",Tempat yang sangat cocok untuk menikmati suara ombak. Tidak ada lawan. Anjay.
RT,,13 Dec 2023,"4,4","Makanannya enak banget, pemandangannya terbaik di sini. Sangat tenang dan nyaman. Pasti akan kembali lagi nanti kalau lewat. Destinasi wajib kalau dari Gilimanuk ke Denpasar."
PC,,16 Nov 2023,"4,4","I wish i could stay here longer. Fantastic location! The staff is extremely sweet, kind, and helpful, the rooms are wellappointed and comfortable, there is plenty of hot water, a nice firm mattress (p..."
AA,,26 Oct 2023,"4,4","Kami memilih hotel ini karena terletak di tepi pantai yang tepat dan memiliki kamar untuk keluarga besar. Kami memilih kamar dengan 6 tempat tidur. Kamar ada 2, masing-masing dengan 1 tempat tidur. Ka..."
TT,,20 Jul 2023,"4,4",Tempat paling nyaman untuk liburan keluarga dengan nuansa Bali yang sangat kental dan tempat yang paling cocok jika berlibur ke Bali dengan pemandangan langsung ke pantai.
CI,,8 Jun 2023,"4,4",Penginapan yang sangat bagus dan nyaman. Tempat ini sangat cocok untuk dikunjungi saat liburan.
LI,,26 Apr 2023,"4,4",Hotel dengan pelayanan yang sangat ramah dan kualitas kamar yang sangat bagus dengan petugas hotel yang ramah. Ramah.
AH,,20 Apr 2023,"4,4","Penginapan yang strategis di pinggir pantai, cocok untuk berlibur bersama keluarga dan istri tercinta."
LU,,7 Apr 2023,"4,4",Suasana hotel yang nyaman dan bagus. Seru banget bisa bersantai di depan kamar sambil melihat pemandangan pantai.
Marni Hasiana,,27 Feb 2023,"4,4",
BE,,27 Feb 2023,"4,4",Saya sangat puas menginap di hotel ini. Harganya sangat terjangkau dan pelayanannya sangat memuaskan. Pemandangannya sangat indah.
GH,,29 Jan 2023,"4,4",Tempat yang sangat nyaman untuk berlibur. Lokasinya dekat dengan pantai. Pelayanannya sangat luar biasa. Terima kasih Pondok Pitaya.
MR,,12 Aug 2022,"4,4","Excellent cuisine from the restaurant. On a few days I ate here, but after lunch and dinner I had breakfast here. There are many different restaurants around."
VX,,3 May 2022,"4,4","There is a wide variety of Western and Balinese cuisine. The service was friendly and the food was fresh. The panoramas are also amazing. Not the best pina colada I've ever had, but the Indonesian cur..."
DQ,,23 May 2024,"4,2","The hotel is in a great location, right in front of the surf break. The hotel is very basic but clean. The rooms are small and dark with an ancient design. The bathroom is a bit depressing. The staff ..."
LD,,19 Mar 2024,"4,2","Pemandangan dari hotel ini sangat bagus, terutama karena hotel ini menghadap ke pantai. Saya sangat suka dengan hotel ini."
HO,,12 Mar 2024,"4,2","Kelebihan: Lokasinya dekat dengan tempat selancar, tempat tidur relatif bersih, dan air panas di kamar mandi. Itu saja. Jika dia seorang peselancar dan tidak peduli, dia akan pergi. Jika Anda bukan se..."
NF,,25 Jan 2024,"4,2","Hotel ini sungguh luar biasa. Pemandangannya sangat indah, dengan harga yang terjangkau dan pelayanan yang sangat memuaskan."
MF,,5 Jan 2024,"4,2","Hotel ini terletak di tepi pantai yang persis dan memiliki kamar untuk keluarga besar. Kami memilih kamar dengan 6 tempat tidur. Kamar ada 2, masing-masing dengan 1 tempat tidur. Kamar tetapi tidak me..."
ST,,21 Nov 2023,"4,2","Hotel ini terletak di lokasi yang mudah dijangkau. Terdapat banyak spot yang bagus di sekitar pantai. Fasilitas yang tersedia juga lengkap, interior kamar sangat memuaskan, dan pelayanan yang diberika..."
JY,,9 Oct 2023,"4,2","Pemandangan yang sangat indah, hotel yang nyaman dengan semua fasilitas yang lengkap."
CF,,10 Aug 2023,"4,2","Pemandangan pantai dengan matahari terbenam yang indah, sangat cocok untuk liburan keluarga. Kolam renangnya cukup besar, ada juga area bermain untuk anak-anak. Restoran, spa, dan yoga shalanya juga l..."
GA,,14 Jun 2023,"4,2",hotel ini sangat cocok untuk pasangan yang ingin berbulan madu. Suasana hotel sangat nyaman dengan fasilitas yang memadai.
AF,,7 Feb 2023,"4,2",Suasana hotel nyaman dan bagus. Asyik banget bisa bersantai di depan kamar sambil melihat pemandangan pantai.
PH,,17 Jan 2023,"4,2",Hotelnya bagus banget. Pemandangannya juga langsung menghadap ke pantai. Saya suka banget sama hotelnya.
RV,,4 Jan 2023,"4,2","This location is truly magical. The property is stunning, the location is unparalleled, and the staff goes above and beyond to ensure you have a wonderful experience. The rooms are impeccably clean, t..."
JP,,18 Aug 2024,"4,0",Penginapan yang bagus dan nyaman. Cocok untuk liburan.
DF,,28 Apr 2023,"4,0",Tempat yang nyaman untuk berlibur dan sangat direkomendasikan untuk recharge. Pelayanan yang ramah dan menyenangkan dari petugas hotel. Nasi goreng andalan yang sangat enak untuk sarapan. Selangkah da...
